Text,Types,Tokens,Sentences,Article,Date,Category,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation
James Patterson Has a Big Plan for Small Books_2016-03-21_Business.txt,415,849,46,James Patterson Has a Big Plan for Small Books,16881,Business,17,3,13,1,6,4,7,12
James Patterson wants to change book publishingwith $5 novellas that are like reading movies_2016-03-21_News.txt,276,470,30,James Patterson wants to change book publishingwith $5 novellas that are like reading movies,16881,News,23,2,8,0,9,3,2,12
Jarring photo of Air Force One flying over Cuba displays a virtual time warp_2016-03-21_Business.txt,148,243,10,Jarring photo of Air Force One flying over Cuba displays a virtual time warp,16881,Business,-1,1,5,0,1,2,1,3
Jenson Button  F1s halo device would have helped Fernando Alonso_2016-03-21_News.txt,246,443,22,Jenson Button  F1s halo device would have helped Fernando Alonso,16881,News,-5,7,7,3,2,8,6,7
Jewel Box_2016-03-21_News.txt,386,697,40,Jewel Box,16881,News,6,6,17,6,11,3,7,11
John Oliver provides a step-by-step takedown of Donald Trumps serious Mexican wall proposal_2016-03-21_Business.txt,223,414,26,John Oliver provides a step-by-step takedown of Donald Trumps serious Mexican wall proposal,16881,Business,-13,5,8,3,4,2,3,12
John Oliver slams Donald Trumps US-Mexico border wall for 18 brutal minutes - Washington Post_2016-03-21_News.txt,464,963,58,John Oliver slams Donald Trumps US-Mexico border wall for 18 brutal minutes - Washington Post,16881,News,-11,11,18,8,7,10,5,12
Johnson   Jonson to pay $72M for cancer death linked to talcum powder_2016-02-24_News.txt,205,381,19,Johnson   Jonson to pay $72M for cancer death linked to talcum powder,16855,News,-21,9,8,5,5,12,9,7
Judge approves nearly $1B settlement between US and tribes_2016-02-24_News.txt,258,475,19,Judge approves nearly $1B settlement between US and tribes,16855,News,6,6,17,6,4,8,7,7
Judge rules on Madonna custody dispute_2016-03-21_News.txt,283,591,31,Judge rules on Madonna custody dispute,16881,News,-1,8,12,3,6,10,11,12
Judge urges Madonna to resolve son spat_2016-03-21_News.txt,197,392,19,Judge urges Madonna to resolve son spat,16881,News,13,3,11,1,7,4,6,10
Jury to Consider Punitive Damages in Hogan Sex Tape Lawsuit_2016-03-21_News.txt,12,12,1,Jury to Consider Punitive Damages in Hogan Sex Tape Lawsuit,16881,News,2,1,2,1,1,2,0,1
Justice Department frames expanded review of FBI forensic testimony_2016-03-21_News.txt,344,717,29,Justice Department frames expanded review of FBI forensic testimony,16881,News,6,4,27,2,5,7,3,10
Justice for Mah-hi-vist Goodblanket  Frustration lingers in Oklahoma_2016-02-23_News.txt,318,577,29,Justice for Mah-hi-vist Goodblanket  Frustration lingers in Oklahoma,16854,News,-21,14,17,6,3,13,10,6
Justices order new look at Massachusetts stun gun law_2016-03-21_News.txt,227,435,18,Justices order new look at Massachusetts stun gun law,16881,News,-12,14,14,4,2,11,6,10
Justices will hear Samsung-Apple patent dispute_2016-03-21 2_News.txt,114,181,10,Justices will hear Samsung-Apple patent dispute,16881,News,-4,3,5,2,1,4,2,3
Justices Will Hear Samsung-Apple Patent Dispute_2016-03-21_News.txt,12,12,1,Justices Will Hear Samsung-Apple Patent Dispute,16881,News,2,1,2,1,1,2,0,1
Justices wont hear Nebraska Oklahoma marijuana dispute with Colorado_2016-03-21_News.txt,466,974,44,Justices wont hear Nebraska Oklahoma marijuana dispute with Colorado,16881,News,-8,18,32,4,14,18,12,24
Justin Bieber at Staples Center  5 quick thoughts about Sundays show_2016-03-21_News.txt,342,551,31,Justin Bieber at Staples Center  5 quick thoughts about Sundays show,16881,News,26,3,13,3,13,3,5,11
Justin Bieber Posts Throwback Photo of Selena Gomez_2016-03-20_News.txt,141,202,17,Justin Bieber Posts Throwback Photo of Selena Gomez,16880,News,10,0,2,0,1,0,1,2
Kasich on getting out of the race  Thats nuts_2016-03-21_Politics.txt,129,212,11,Kasich on getting out of the race  Thats nuts,16881,Politics,2,1,5,2,0,1,5,2
Kasich strategist taunts Rubio as more hyped than Crystal Pepsi_2016-03-02_Politics.txt,190,319,24,Kasich strategist taunts Rubio as more hyped than Crystal Pepsi,16862,Politics,14,4,11,4,3,7,7,9
Kidnaps and killings mar Nigeria poll_2016-03-21_News.txt,167,275,14,Kidnaps and killings mar Nigeria poll,16881,News,-17,5,12,3,3,8,4,3
Kindle owners urged to update software_2016-03-21_News.txt,178,376,27,Kindle owners urged to update software,16881,News,2,1,3,0,0,1,4,5
Kindle users  Go update your device right now._2016-03-21_News.txt,211,399,19,Kindle users  Go update your device right now.,16881,News,-7,1,4,0,3,4,6,12
La Cuba que Obama visita est cambiando pero mucho sigue igual_2016-03-21_News.txt,33,39,4,La Cuba que Obama visita est cambiando pero mucho sigue igual,16881,News,1,0,0,0,0,0,0,2
Labour slams George Osborne after he dodges budget urgent question_2016-03-21_News.txt,334,669,23,Labour slams George Osborne after he dodges budget urgent question,16881,News,-22,16,18,8,5,20,15,8
Lara Setrakian is building a media empire - Mashable_2016-03-21_News.txt,91,123,8,Lara Setrakian is building a media empire - Mashable,16881,News,2,2,4,0,2,2,1,3
Las Vegas  Cosmopolitan installs original artwork inside new Starbucks_2016-03-21_News.txt,200,411,27,Las Vegas  Cosmopolitan installs original artwork inside new Starbucks,16881,News,5,0,14,1,7,2,1,11
Las Vegas deal  $150 credit for spring breakers at Palazzo or Venetian_2016-03-21_News.txt,152,254,20,Las Vegas deal  $150 credit for spring breakers at Palazzo or Venetian,16881,News,7,1,6,0,4,0,2,4
Last living suspect in VIP paedophile ring inquiry will not face charges_2016-03-21_News.txt,562,1498,64,Last living suspect in VIP paedophile ring inquiry will not face charges,16881,News,-62,19,33,16,13,30,21,20
Lee Scratch Perry at 80  I am a prince and the music is the king_2016-03-21_News.txt,679,2243,191,Lee Scratch Perry at 80  I am a prince and the music is the king,16881,News,63,18,39,14,40,23,27,39
Lets celebrate Twitters 10th birthday by killing off the Crying Jordan meme_2016-03-21_News.txt,227,372,23,Lets celebrate Twitters 10th birthday by killing off the Crying Jordan meme,16881,News,23,2,12,0,5,4,3,7
Lets Reject Racism Misogyny Xenophobia of Trumpism for That of Republicanism_2016-03-21_News.txt,321,632,45,Lets Reject Racism Misogyny Xenophobia of Trumpism for That of Republicanism,16881,News,-24,15,23,11,12,9,14,8
Letters from Cuba_2016-03-21_Politics.txt,25,28,3,Letters from Cuba,16881,Politics,0,0,1,0,0,0,0,0
Life as an Undercover Union Organizer_2016-03-21_Business.txt,429,1013,55,Life as an Undercover Union Organizer,16881,Business,33,3,27,2,11,4,3,14
Life as an Undercover Union Organizer_2016-03-21_News.txt,429,1013,55,Life as an Undercover Union Organizer,16881,News,33,3,27,2,11,4,3,14
Lights out  Cities worldwide mark the 10th annual Earth Hour_2016-03-20_News.txt,204,343,13,Lights out  Cities worldwide mark the 10th annual Earth Hour,16880,News,7,1,7,0,4,4,2,6
Lionsgate stock falls after huge box-office disappointment of the new Divergent movie_2016-03-21_Business.txt,324,597,24,Lionsgate stock falls after huge box-office disappointment of the new Divergent movie,16881,Business,7,4,13,2,7,8,7,15
Lippo Partners With GrabTaxi to Expand E-Commerce in Indonesia_2016-03-21_Business.txt,248,400,17,Lippo Partners With GrabTaxi to Expand E-Commerce in Indonesia,16881,Business,10,4,11,2,2,2,1,7
Listen Up! Here Are 6 Ways to Become a Great Communicator._2016-03-21_Business.txt,368,777,59,Listen Up! Here Are 6 Ways to Become a Great Communicator.,16881,Business,47,8,18,1,12,6,3,18
LIVE  Clinton speaks at AIPAC conference_2016-03-21_Politics.txt,36,38,4,LIVE  Clinton speaks at AIPAC conference,16881,Politics,2,0,3,1,1,0,0,2
Looking Back at Twitter As It Celebrates Its 10th Birthday Today_2016-03-21_Business.txt,186,278,14,Looking Back at Twitter As It Celebrates Its 10th Birthday Today,16881,Business,-3,2,5,0,3,3,4,5
Los Angeles Homeless Poised For A Key Victory Against The City_2016-03-21_Politics.txt,416,846,33,Los Angeles Homeless Poised For A Key Victory Against The City,16881,Politics,-36,16,24,7,6,21,16,11
Lufthansa Reports a Near Miss With Drone Over Los Angeles_2016-03-21_Business.txt,235,411,18,Lufthansa Reports a Near Miss With Drone Over Los Angeles,16881,Business,0,0,6,2,1,4,3,5
Lyft Drivers Would Be Owed Millions in Expense Reimbursements as Employees Court Documents Show_2016-03-21_Business.txt,392,898,38,Lyft Drivers Would Be Owed Millions in Expense Reimbursements as Employees Court Documents Show,16881,Business,3,7,22,5,10,4,5,15
Magic Beans_2016-03-21_News.txt,396,793,39,Magic Beans,16881,News,5,3,7,2,7,4,10,11
Make Me a Match_2016-01-29_Business.txt,147,203,12,Make Me a Match,16829,Business,15,1,7,0,7,2,2,9
Man Attacks Three Restaurant Patrons With Machete In Queens_2016-03-21_News.txt,141,265,14,Man Attacks Three Restaurant Patrons With Machete In Queens,16881,News,-28,6,6,2,0,9,4,2
Man banned from Amazon for returning 37 items_2016-03-21_News.txt,163,242,13,Man banned from Amazon for returning 37 items,16881,News,-1,4,8,5,2,5,3,1
Man kills himself in Serbian bakery by detonating grenade_2016-03-21 2_News.txt,105,163,9,Man kills himself in Serbian bakery by detonating grenade,16881,News,-8,2,3,1,1,5,2,1
Man Kills Himself in Serbian Bakery by Detonating Grenade_2016-03-21_News.txt,12,12,1,Man Kills Himself in Serbian Bakery by Detonating Grenade,16881,News,2,1,2,1,1,2,0,1
Man with bionic penic loses virginity_2016-03-21_News.txt,322,679,48,Man with bionic penic loses virginity,16881,News,6,6,14,5,12,14,15,16
Manhunt launched for newly identified Paris attacks suspect Najim Laachraoui - CNN_2016-03-21_News.txt,497,1281,62,Manhunt launched for newly identified Paris attacks suspect Najim Laachraoui - CNN,16881,News,-47,17,16,5,2,23,6,15
Many Donald Trump Supporters Deserve Respect_2016-03-21_News.txt,219,437,22,Many Donald Trump Supporters Deserve Respect,16881,News,12,1,9,2,2,4,1,6
Marine killed in Iraq  to catch a terrorist  and Obama in Cuba_2016-03-21_News.txt,214,355,18,Marine killed in Iraq  to catch a terrorist  and Obama in Cuba,16881,News,-11,12,8,2,0,15,6,4
Market Extra  J.P. Morgan slashes eurozone stocks as dollar weakens_2016-03-21_News.txt,230,423,26,Market Extra  J.P. Morgan slashes eurozone stocks as dollar weakens,16881,News,0,6,11,2,5,6,6,7
Marriott $13.6 bn bid for Starwood Hotels tops Chinas Anbang_2016-03-21_News.txt,325,670,29,Marriott $13.6 bn bid for Starwood Hotels tops Chinas Anbang,16881,News,43,4,24,1,15,4,3,17
Marriott raised its offer to buy Starwood Hotels snatching it back from a huge Chinese insurer MAR HOT_2016-03-21_Business.txt,124,195,12,Marriott raised its offer to buy Starwood Hotels snatching it back from a huge Chinese insurer MAR HOT,16881,Business,12,1,6,0,5,1,0,5
Marriott Raises Bid for Starwood_2016-03-21_Business.txt,213,459,25,Marriott Raises Bid for Starwood,16881,Business,22,2,13,0,4,1,3,9
Maybe You Should Check Email in the Morning_2016-03-21_Business.txt,278,492,22,Maybe You Should Check Email in the Morning,16881,Business,-5,7,19,4,3,6,7,6
McConnell Reid clash over SCOTUS nomination_2016-03-21_Politics.txt,25,27,3,McConnell Reid clash over SCOTUS nomination,16881,Politics,-1,2,1,1,0,1,0,1
McDonalds is trying to recruit more Japanese staff with this bizarre anime ad MCD_2016-03-21_Business.txt,76,101,6,McDonalds is trying to recruit more Japanese staff with this bizarre anime ad MCD,16881,Business,3,0,6,0,5,2,0,6
Meals or wheels  In latest attack on the poor Alabama Republican tells food stamp recipients  If you want to eat give up your car_2016-03-21_News.txt,226,428,17,Meals or wheels  In latest attack on the poor Alabama Republican tells food stamp recipients  If you want to eat give up your car,16881,News,4,5,6,1,4,4,6,5
Meet the invisible victims of criminal justice  Children_2016-02-24_News.txt,168,279,15,Meet the invisible victims of criminal justice  Children,16855,News,-1,5,13,3,8,7,9,7
Meeting Hades  The Journey Toward the Other_2016-03-21_News.txt,616,1505,273,Meeting Hades  The Journey Toward the Other,16881,News,-1,20,33,19,28,23,28,27
Melissa Rauchs The Bronze Fails To Stick Its Box-Office Landing_2016-03-21_News.txt,135,189,9,Melissa Rauchs The Bronze Fails To Stick Its Box-Office Landing,16881,News,-10,3,9,5,9,4,6,10
Memorial Held for Boy Who Wished to Be Famous in China_2016-03-21_News.txt,12,12,1,Memorial Held for Boy Who Wished to Be Famous in China,16881,News,2,1,2,1,1,2,0,1
Men  Were too boring and rude for D.C.s great women_2016-03-21_News.txt,441,903,63,Men  Were too boring and rude for D.C.s great women,16881,News,20,10,23,7,20,9,10,14
Merah  The Untold Story of a French Jihadist Icon_2016-02-10_Politics.txt,1359,3987,185,Merah  The Untold Story of a French Jihadist Icon,16841,Politics,-78,50,75,24,30,67,40,49
Merrick Garland Is Obamas Rope-a-Dope Nominee nbsp _2016-03-16_Politics.txt,326,631,35,Merrick Garland Is Obamas Rope-a-Dope Nominee nbsp ,16876,Politics,18,8,18,6,11,10,5,18
Mesmerizing video of a US nuclear submarine surfacing through ice in the Arctic Circle_2016-03-21_Business.txt,214,353,16,Mesmerizing video of a US nuclear submarine surfacing through ice in the Arctic Circle,16881,Business,2,7,11,2,3,8,3,5
Mexico City vacation  Four ways to experience the city_2016-03-21_News.txt,247,452,30,Mexico City vacation  Four ways to experience the city,16881,News,30,0,13,0,13,2,1,11
Michael Jacksons pet chimp Bubbles is getting his own animated movie_2016-03-21_Business.txt,154,252,10,Michael Jacksons pet chimp Bubbles is getting his own animated movie,16881,Business,-4,4,3,1,2,4,3,7
Microsoft Apologizes for Scantily-Clad Dancers at GDC Party_2016-03-21_Business.txt,150,218,13,Microsoft Apologizes for Scantily-Clad Dancers at GDC Party,16881,Business,0,2,5,1,2,1,0,1
Mike Ashley wedded to Newcastle  even if they are relegated_2016-03-21_News.txt,318,578,29,Mike Ashley wedded to Newcastle  even if they are relegated,16881,News,17,7,20,6,8,9,11,14
Millionaires urge New York governor  Please raise our taxes_2016-03-21 2_News.txt,232,447,20,Millionaires urge New York governor  Please raise our taxes,16881,News,10,2,18,2,8,2,6,12
Millionaires Urge New York Governor  Please Raise Our Taxes_2016-03-21_News.txt,12,12,1,Millionaires Urge New York Governor  Please Raise Our Taxes,16881,News,2,1,2,1,1,2,0,1
Missiles in paradise  Kauai island faces controversial Hawaii defense plan_2016-02-24_News.txt,448,996,51,Missiles in paradise  Kauai island faces controversial Hawaii defense plan,16855,News,18,18,27,3,5,16,7,7
Mitt Romney Announces Hes Voting for Ted Cruz_2016-03-18_Politics.txt,106,147,10,Mitt Romney Announces Hes Voting for Ted Cruz,16878,Politics,14,1,4,1,3,1,0,3
Mitt Romney picks a side sort of_2016-03-21_Politics.txt,257,472,26,Mitt Romney picks a side sort of,16881,Politics,9,6,19,2,9,3,5,8
Mitt Romney Should Run for President as a Third-Party Candidate_2016-03-11_Politics.txt,652,1514,70,Mitt Romney Should Run for President as a Third-Party Candidate,16871,Politics,21,23,40,11,21,27,19,25
Monday Market Movement_2016-03-21_News.txt,473,1160,38,Monday Market Movement,16881,News,22,7,16,1,6,15,8,12
Monday Monday_2016-03-21_News.txt,20,20,3,Monday Monday,16881,News,2,0,2,0,1,0,0,1
More embarrassments to come  Unhinged Conservatives on Twitter freak out over Obamas Cuba visit_2016-03-21_News.txt,114,172,11,More embarrassments to come  Unhinged Conservatives on Twitter freak out over Obamas Cuba visit,16881,News,5,4,4,1,2,3,4,4
Moscow on the Tigris  Russia Joins the Terror Nexus_2016-02-11_Politics.txt,1214,3416,186,Moscow on the Tigris  Russia Joins the Terror Nexus,16842,Politics,-1,37,66,25,24,52,32,40
Mother of Missing Kids Tries to Escape Psychiatric Hospital_2016-03-21_News.txt,12,12,1,Mother of Missing Kids Tries to Escape Psychiatric Hospital,16881,News,2,1,2,1,1,2,0,1
My Purple Scented Novel_2016-03-21_News.txt,1416,4311,311,My Purple Scented Novel,16881,News,86,43,80,28,73,41,49,77
Naming Contest May Christen $300 Million Vessel Boaty McBoatface_2016-03-21_Business.txt,79,92,4,Naming Contest May Christen $300 Million Vessel Boaty McBoatface,16881,Business,14,0,5,0,1,1,0,2
NARAL goes on angry Super Bowl tweetstorm_2016-02-08_Politics.txt,25,28,1,NARAL goes on angry Super Bowl tweetstorm,16839,Politics,0,0,2,0,0,0,0,0
Natural gas is expected to be the top electricity source this year_2016-03-21_News.txt,324,635,35,Natural gas is expected to be the top electricity source this year,16881,News,9,5,14,2,4,8,4,10
Netflix opens its Recommended TV program globally and raises the bar for inclusion_2016-03-21_Business.txt,208,404,20,Netflix opens its Recommended TV program globally and raises the bar for inclusion,16881,Business,15,0,6,1,3,2,1,7
Nevada governor says he doesnt want Supreme Court consideration_2016-02-25_News.txt,392,826,35,Nevada governor says he doesnt want Supreme Court consideration,16856,News,20,15,38,5,8,16,10,18
Nevadas Sharron Angle is ready for her_2016-03-21_Politics.txt,294,474,27,Nevadas Sharron Angle is ready for her,16881,Politics,3,9,17,6,6,6,6,12
New Apple products on deck  What to expect - Fox News_2016-03-21_News.txt,329,706,34,New Apple products on deck  What to expect - Fox News,16881,News,6,3,12,1,6,4,5,14
New Orleanians see tourism bias in post-Katrina public transport_2016-02-25_News.txt,191,320,16,New Orleanians see tourism bias in post-Katrina public transport,16856,News,1,1,4,0,6,3,3,5
New stats say Russias poor grew sharply_2016-03-21_News.txt,94,130,5,New stats say Russias poor grew sharply,16881,News,-1,3,4,1,0,2,2,0
New weapons for Panama tribes in old fight to save forests_2016-02-25_News.txt,1100,3034,125,New weapons for Panama tribes in old fight to save forests,16856,News,-47,33,67,25,26,44,28,28
New Wireless-Internet Plans_2016-03-21_News.txt,339,565,37,New Wireless-Internet Plans,16881,News,-7,10,8,5,7,7,3,15
New York Today  New York Today  Springtime Snow_2016-03-21_News.txt,449,832,79,New York Today  New York Today  Springtime Snow,16881,News,-13,6,14,4,5,12,10,13
New Yorker takes on Trumps hands_2016-03-21_News.txt,104,137,11,New Yorker takes on Trumps hands,16881,News,-2,1,5,0,1,2,2,1
NewsWatch  Bill Ackmans stock drops_2016-03-21_News.txt,154,230,17,NewsWatch  Bill Ackmans stock drops,16881,News,8,2,5,1,1,5,1,2
NFL considers Rooney rule to help bring women into the league_2016-03-21_News.txt,332,703,30,NFL considers Rooney rule to help bring women into the league,16881,News,33,1,23,1,8,2,2,13
Nigerias frivolous anti-social media bill just wont go away_2016-03-21_News.txt,391,757,32,Nigerias frivolous anti-social media bill just wont go away,16881,News,5,5,21,5,5,16,9,10
Nintendos Miitomo Is Already Monstrously Popular_2016-03-21_News.txt,134,192,7,Nintendos Miitomo Is Already Monstrously Popular,16881,News,13,1,2,0,1,0,0,3
NJ police renew call for escaped domestic terrorists in Cuba to return to US_2016-03-21_Politics.txt,386,888,46,NJ police renew call for escaped domestic terrorists in Cuba to return to US,16881,Politics,-9,15,27,7,7,24,11,14
No Letting Go  A Film Review_2016-03-21_News.txt,440,1022,48,No Letting Go  A Film Review,16881,News,8,15,26,10,15,22,21,18
Norovirus sickens hundreds at university in Ohio_2016-02-24_News.txt,170,294,14,Norovirus sickens hundreds at university in Ohio,16855,News,-4,3,9,4,1,6,4,3
North Korea  Why Human Rights Must Come First_2016-02-22_Politics.txt,399,911,32,North Korea  Why Human Rights Must Come First,16853,Politics,7,15,34,8,8,23,10,16
North Korea Fires 5 Short-Range Missiles Into The Sea_2016-03-21_News.txt,164,271,15,North Korea Fires 5 Short-Range Missiles Into The Sea,16881,News,-1,5,3,1,0,5,1,5
North Korea fires short-range projectiles into sea_2016-03-21_News.txt,264,477,24,North Korea fires short-range projectiles into sea,16881,News,-2,6,15,3,4,8,2,9
North Korea fires short-ranges projectiles into sea_2016-03-21_News.txt,264,477,24,North Korea fires short-ranges projectiles into sea,16881,News,-2,6,15,3,4,8,2,9
North Korea Launches Short-Range Projectiles Seoul Says_2016-03-21_News.txt,72,107,6,North Korea Launches Short-Range Projectiles Seoul Says,16881,News,0,1,3,0,1,3,0,2
Northern Iowas stunning collapse shows March Madness deserves the hype_2016-03-21_News.txt,476,943,60,Northern Iowas stunning collapse shows March Madness deserves the hype,16881,News,13,15,19,10,11,17,15,16
Not Even Past  Bravado Meets Reality in Brazil_2016-02-10_Politics.txt,1589,4933,168,Not Even Past  Bravado Meets Reality in Brazil,16841,Politics,34,29,88,22,43,42,41,58
Notorious Big_2016-03-21_News.txt,1297,3385,142,Notorious Big,16881,News,-20,46,77,21,31,55,39,43
Novak Djokovic questions equal prize money in tennis - BBC News_2016-03-21_News.txt,323,644,39,Novak Djokovic questions equal prize money in tennis - BBC News,16881,News,0,7,12,3,8,8,3,10
Novak Djokovic says male tennis players should make more money because they draw higher ratings_2016-03-21_Business.txt,131,209,12,Novak Djokovic says male tennis players should make more money because they draw higher ratings,16881,Business,4,3,5,0,4,2,0,5
NYC Students Give Inspiring Answers For Their Ideal High School Experience_2016-03-21_News.txt,74,92,3,NYC Students Give Inspiring Answers For Their Ideal High School Experience,16881,News,7,0,5,0,6,0,1,6
NYPD  This Man Stared At R Train Rider   Masturbated From Queens To Manhattan_2016-03-21_News.txt,144,215,10,NYPD  This Man Stared At R Train Rider   Masturbated From Queens To Manhattan,16881,News,-3,2,4,2,1,3,3,3
Obama and Ral Castro to Meet in Pivotal Moment in U.S.-Cuba Thaw_2016-03-21_News.txt,429,909,53,Obama and Ral Castro to Meet in Pivotal Moment in U.S.-Cuba Thaw,16881,News,21,10,27,4,14,9,8,15
Obama announces long-awaited Guantnamo closing plan_2016-02-23_News.txt,339,696,31,Obama announces long-awaited Guantnamo closing plan,16854,News,-18,10,18,3,4,10,6,9
Obama Arrives in Cuba on Historic Visit_2016-03-21_Business.txt,499,985,41,Obama Arrives in Cuba on Historic Visit,16881,Business,9,10,29,5,12,18,9,19
Obama in Cuba  US president to meet with Ral Castro on historic trip  live_2016-03-21_News.txt,257,419,23,Obama in Cuba  US president to meet with Ral Castro on historic trip  live,16881,News,11,6,13,2,8,8,5,11
Obama Is Privately Telling Democratic Donors Time Is Running Out for Sanders_2016-03-17_Politics.txt,170,245,12,Obama Is Privately Telling Democratic Donors Time Is Running Out for Sanders,16877,Politics,4,3,8,0,4,3,4,5
Obama makes history with trip to Cuba_2016-03-21_Politics.txt,320,562,31,Obama makes history with trip to Cuba,16881,Politics,30,2,20,2,10,5,2,10
Obama meets Cuban President Ral Castro_2016-03-21_News.txt,516,1285,73,Obama meets Cuban President Ral Castro,16881,News,26,8,40,2,16,6,6,15
Obama meets with Cuban president_2016-03-21_Politics.txt,167,272,11,Obama meets with Cuban president,16881,Politics,-12,5,8,3,4,3,3,9
Obama sees a path to human rights reform in Cuba and its through Cubans wallets_2016-03-21_News.txt,537,1075,49,Obama sees a path to human rights reform in Cuba and its through Cubans wallets,16881,News,-2,12,41,9,17,17,11,21
Obama to meet Castro after historic arrival in Cuba_2016-03-21_Politics.txt,1136,3635,182,Obama to meet Castro after historic arrival in Cuba,16881,Politics,5,24,66,10,34,33,28,48
Obama To Meet Cubas President Castro On Historic Trip_2016-03-21_News.txt,443,928,41,Obama To Meet Cubas President Castro On Historic Trip,16881,News,8,10,35,3,16,12,5,18
Obama to proceed with court nominee despite Republican defiance_2016-02-24_News.txt,247,445,16,Obama to proceed with court nominee despite Republican defiance,16855,News,21,7,23,3,7,5,2,12
Obama touches down in Cuba_2016-03-20_News.txt,646,1478,70,Obama touches down in Cuba,16880,News,2,8,43,7,16,17,9,23
Obamas Cuba trip met with criticism_2016-03-21_Politics.txt,35,38,3,Obamas Cuba trip met with criticism,16881,Politics,0,0,2,0,0,0,0,0
Obamas visit to Cuba - in pictures_2016-03-21_News.txt,20,22,1,Obamas visit to Cuba - in pictures,16881,News,0,0,1,0,0,0,0,0
Off-Duty New Jersey Officer Found Shot to Death in Car_2016-03-21_News.txt,12,12,1,Off-Duty New Jersey Officer Found Shot to Death in Car,16881,News,2,1,2,1,1,2,0,1
OKLAHOMA SHAKES  23  INCREASE IN TREMORS_2016-03-21_News.txt,109,203,11,OKLAHOMA SHAKES  23  INCREASE IN TREMORS,16881,News,2,0,2,0,1,1,0,1
Older Voters May Be Hillary Clintons Answer to Bernie Sanderss Youth Appeal_2016-03-21_News.txt,486,1002,45,Older Voters May Be Hillary Clintons Answer to Bernie Sanderss Youth Appeal,16881,News,43,12,43,6,23,11,17,26
On first full day in Cuba Obama meets with Castro and will address the public - Washington Post_2016-03-21_News.txt,589,1429,76,On first full day in Cuba Obama meets with Castro and will address the public - Washington Post,16881,News,31,10,37,5,17,16,11,26
On our day we are hard to beat says R Ashwin_2016-03-21_News.txt,267,541,31,On our day we are hard to beat says R Ashwin,16881,News,15,4,6,1,5,4,1,9
On Supreme Court Republicans cant keep_2016-03-21_Politics.txt,289,611,27,On Supreme Court Republicans cant keep,16881,Politics,8,6,20,1,3,9,3,7
One of the brightest fireballs in recorded history barreled across Britains skies  and it was beautiful_2016-03-21_Business.txt,174,279,18,One of the brightest fireballs in recorded history barreled across Britains skies  and it was beautiful,16881,Business,2,0,6,0,4,2,3,5
One Word That Separates the Best CEOs From the Worst_2016-03-21_Business.txt,183,345,22,One Word That Separates the Best CEOs From the Worst,16881,Business,6,3,11,2,6,1,3,6
Over $37 billion in deals were just announced in a massive Merger Monday SHW MAR HOT_2016-03-21_Business.txt,172,330,15,Over $37 billion in deals were just announced in a massive Merger Monday SHW MAR HOT,16881,Business,2,2,5,1,4,5,2,5
Ox head tacos and cemita sandwiches are all part of the Mexico City street food tour_2016-03-21_News.txt,435,1042,58,Ox head tacos and cemita sandwiches are all part of the Mexico City street food tour,16881,News,24,5,22,8,17,6,8,13
Pakistan team not affected by media flak  Afridi_2016-03-21_News.txt,316,696,44,Pakistan team not affected by media flak  Afridi,16881,News,24,3,12,2,7,5,6,9
Paris attacks  police shoot at suspect during Belgium raid - new video_2016-03-21_News.txt,48,58,2,Paris attacks  police shoot at suspect during Belgium raid - new video,16881,News,-2,3,1,0,0,5,0,0
Paris attacks  Suspects accomplice named as Najim Laachraoui - BBC News_2016-03-21_News.txt,344,733,46,Paris attacks  Suspects accomplice named as Najim Laachraoui - BBC News,16881,News,-14,13,15,8,5,14,10,13
Paris suspect was ready to restart something_2016-03-20_News.txt,518,1481,75,Paris suspect was ready to restart something,16880,News,-20,20,25,10,10,30,13,23
Park Service  Weekend Weather Wont Affect Peak Bloom Date_2016-03-21_News.txt,12,12,1,Park Service  Weekend Weather Wont Affect Peak Bloom Date,16881,News,2,1,2,1,1,2,0,1
PASSION Ratings Fizzle As Tyler Perry Show Hits Live Musical Low_2016-03-21_News.txt,371,809,35,PASSION Ratings Fizzle As Tyler Perry Show Hits Live Musical Low,16881,News,-2,6,14,1,11,5,8,12
Paul Krugman  The GOP needs Trump to evict them from the halls of power and into the political wilderness_2016-03-21_News.txt,121,166,4,Paul Krugman  The GOP needs Trump to evict them from the halls of power and into the political wilderness,16881,News,9,5,6,2,4,3,6,6
Paul VIs VJ King Gonzagas Chris Lykes Gwynn Parks Isaiah Miles named Gatorade state players of the year_2016-03-21_News.txt,231,440,39,Paul VIs VJ King Gonzagas Chris Lykes Gwynn Parks Isaiah Miles named Gatorade state players of the year,16881,News,13,3,9,0,2,5,0,5
PAWS Act seeks to help veterans with PTSD get service dogs_2016-03-21_Politics.txt,184,308,15,PAWS Act seeks to help veterans with PTSD get service dogs,16881,Politics,-6,3,13,2,4,6,5,5
Pay Attention To These 7 Movies And TV Shows That Premiered At South By Southwest_2016-03-21_News.txt,457,729,37,Pay Attention To These 7 Movies And TV Shows That Premiered At South By Southwest,16881,News,27,14,25,6,20,16,13,22
Photo highlights of the day  an orphaned orangutan and racing reindeer_2016-03-21_News.txt,45,51,5,Photo highlights of the day  an orphaned orangutan and racing reindeer,16881,News,1,1,3,1,1,1,1,2
Photos fail to capture how spectacular this mornings snowfall was_2016-03-21_Business.txt,14,15,2,Photos fail to capture how spectacular this mornings snowfall was,16881,Business,-2,2,2,1,1,0,0,1
