"","Text","Types","Tokens","Sentences","Article","Date","Category","Trump","Clinton","Cruz","Sanders","Kasich","Sentiment"
"OPEC and Falling Oil Prices_2016-04-18_news.txt","OPEC and Falling Oil Prices_2016-04-18_news.txt",163,275,14,"OPEC and Falling Oil Prices",2016-04-18,"news",0,0,0,0,0,8
"Opinion  Amy Schumer may help beat ISIS_2016-04-17_news.txt","Opinion  Amy Schumer may help beat ISIS_2016-04-17_news.txt",861,2322,117,"Opinion  Amy Schumer may help beat ISIS",2016-04-17,"news",0,0,0,0,0,53
"Opinion  Justice for Akai Gurley's family_2016-04-13_politics.txt","Opinion  Justice for Akai Gurley's family_2016-04-13_politics.txt",370,917,53,"Opinion  Justice for Akai Gurley's family",2016-04-13,"politics",0,0,0,0,0,-32
"Opinion  Why millennials struggle _2016-5-03_News.txt","Opinion  Why millennials struggle _2016-5-03_News.txt",683,1766,106,"Opinion  Why millennials struggle ",2016-05-03,"News",0,0,0,0,0,20
"Oprah Winfrey to star in Henrietta Lacks movie _2016-5-03_News.txt","Oprah Winfrey to star in Henrietta Lacks movie _2016-5-03_News.txt",135,216,9,"Oprah Winfrey to star in Henrietta Lacks movie ",2016-05-03,"News",0,0,0,0,0,14
"Orange Lutheran takes over top spot in The Times' prep baseball top 25 rankings_2016-04-17_news.txt","Orange Lutheran takes over top spot in The Times' prep baseball top 25 rankings_2016-04-17_news.txt",135,223,66,"Orange Lutheran takes over top spot in The Times' prep baseball top 25 rankings",2016-04-17,"news",0,0,0,0,0,2
"Orange Soy Glazed Ribs_2016-03-14_Cooking.txt","Orange Soy Glazed Ribs_2016-03-14_Cooking.txt",257,451,43,"Orange Soy Glazed Ribs",2016-03-14,"Cooking",0,0,0,0,0,25
"Organized Crime Prosecutors Raid Panama Papers Firm Office_2016-04-12_News.txt","Organized Crime Prosecutors Raid Panama Papers Firm Office_2016-04-12_News.txt",0,0,0,"Organized Crime Prosecutors Raid Panama Papers Firm Office",2016-04-12,"News",0,0,0,0,0,0
"Osborne Warns of Decades of Economic Pain If U.K. Quits EU - Bloomberg_2016-04-18_news.txt","Osborne Warns of Decades of Economic Pain If U.K. Quits EU - Bloomberg_2016-04-18_news.txt",469,1041,44,"Osborne Warns of Decades of Economic Pain If U.K. Quits EU - Bloomberg",2016-04-18,"news",0,0,0,0,0,0
"Oscar Pistorius returns to court for murder sentencing hearing_2016-04-18_news.txt","Oscar Pistorius returns to court for murder sentencing hearing_2016-04-18_news.txt",236,477,21,"Oscar Pistorius returns to court for murder sentencing hearing",2016-04-18,"news",0,0,0,0,0,-35
"Oscar Pistorius Will Be Sentenced in June for Murder of His Girlfriend - TIME_2016-04-18_news.txt","Oscar Pistorius Will Be Sentenced in June for Murder of His Girlfriend - TIME_2016-04-18_news.txt",87,127,8,"Oscar Pistorius Will Be Sentenced in June for Murder of His Girlfriend - TIME",2016-04-18,"news",0,0,0,0,0,-11
"Oscar Pistorius Will Be Sentenced in June for Murder of His Girlfriend_2016-04-18_news.txt","Oscar Pistorius Will Be Sentenced in June for Murder of His Girlfriend_2016-04-18_news.txt",87,127,8,"Oscar Pistorius Will Be Sentenced in June for Murder of His Girlfriend",2016-04-18,"news",0,0,0,0,0,-11
"Our Woman in New York  Donald Trump, Hillary Clinton and Bernie Sanders on Friendly Turf_2016-04-18_Politics.txt","Our Woman in New York  Donald Trump, Hillary Clinton and Bernie Sanders on Friendly Turf_2016-04-18_Politics.txt",479,978,57,"Our Woman in New York  Donald Trump, Hillary Clinton and Bernie Sanders on Friendly Turf",2016-04-18,"Politics",1,1,0,1,1,32
"Outside the Box  How arbitragers profit off mom and pop investors _2016-5-02_News.txt","Outside the Box  How arbitragers profit off mom and pop investors _2016-5-02_News.txt",339,745,57,"Outside the Box  How arbitragers profit off mom and pop investors ",2016-05-02,"News",0,0,0,0,0,20
"Outside the Box  How high schools are failing those who earn a diploma_2016-04-13_News.txt","Outside the Box  How high schools are failing those who earn a diploma_2016-04-13_News.txt",386,861,40,"Outside the Box  How high schools are failing those who earn a diploma",2016-04-13,"News",0,0,0,0,0,17
"Outside the Box  How inflation is already killing your stock and bond investments_2016-04-13_News.txt","Outside the Box  How inflation is already killing your stock and bond investments_2016-04-13_News.txt",417,891,46,"Outside the Box  How inflation is already killing your stock and bond investments",2016-04-13,"News",0,0,0,0,0,1
"Outside the Box  Our crumbling infrastructure is hurting U.S. competitiveness_2016-04-13_News.txt","Outside the Box  Our crumbling infrastructure is hurting U.S. competitiveness_2016-04-13_News.txt",465,969,50,"Outside the Box  Our crumbling infrastructure is hurting U.S. competitiveness",2016-04-13,"News",0,0,0,0,0,20
"Outside the Box  Workers losing Indiana factory jobs deserve to be more than political pawns _2016-5-02_News.txt","Outside the Box  Workers losing Indiana factory jobs deserve to be more than political pawns _2016-5-02_News.txt",416,796,53,"Outside the Box  Workers losing Indiana factory jobs deserve to be more than political pawns ",2016-05-02,"News",1,0,1,1,0,7
"Outtakes from the Hoosier State  Relishing Indiana's role ahead of Tuesday's primary _2016-5-03_News.txt","Outtakes from the Hoosier State  Relishing Indiana's role ahead of Tuesday's primary _2016-5-03_News.txt",43,75,8,"Outtakes from the Hoosier State  Relishing Indiana's role ahead of Tuesday's primary ",2016-05-03,"News",1,0,1,1,0,-3
"Ox head tacos and cemita sandwiches are all part of the Mexico City street food tour_2016-03-21_News.txt","Ox head tacos and cemita sandwiches are all part of the Mexico City street food tour_2016-03-21_News.txt",435,1042,58,"Ox head tacos and cemita sandwiches are all part of the Mexico City street food tour",2016-03-21,"News",0,0,0,0,0,24
"Pagenaud wins Long Beach for 1st victory driving for Penske_2016-04-17_news.txt","Pagenaud wins Long Beach for 1st victory driving for Penske_2016-04-17_news.txt",369,804,50,"Pagenaud wins Long Beach for 1st victory driving for Penske",2016-04-17,"news",0,0,0,0,0,-1
"Pakistan team not affected by media flak  Afridi_2016-03-21_News.txt","Pakistan team not affected by media flak  Afridi_2016-03-21_News.txt",316,696,44,"Pakistan team not affected by media flak  Afridi",2016-03-21,"News",0,0,0,0,0,24
"Panama papers  Mossack Fonseca headquarters raided - BBC News_2016-04-13_News.txt","Panama papers  Mossack Fonseca headquarters raided - BBC News_2016-04-13_News.txt",201,371,20,"Panama papers  Mossack Fonseca headquarters raided - BBC News",2016-04-13,"News",0,0,0,0,0,-6
"Panama Papers  Mossack Fonseca Raided by Organized Crime Prosecutors - NBCNews.com_2016-04-13_News.txt","Panama Papers  Mossack Fonseca Raided by Organized Crime Prosecutors - NBCNews.com_2016-04-13_News.txt",260,518,28,"Panama Papers  Mossack Fonseca Raided by Organized Crime Prosecutors - NBCNews.com",2016-04-13,"News",0,0,0,0,0,3
"Panama Papers  Police Raid Mossack Fonseca Offices - Newsweek_2016-04-13_News.txt","Panama Papers  Police Raid Mossack Fonseca Offices - Newsweek_2016-04-13_News.txt",0,0,0,"Panama Papers  Police Raid Mossack Fonseca Offices - Newsweek",2016-04-13,"News",0,0,0,0,0,0
"Panama raids offices of Mossack Fonseca law firm - Reuters_2016-04-13_News.txt","Panama raids offices of Mossack Fonseca law firm - Reuters_2016-04-13_News.txt",184,379,16,"Panama raids offices of Mossack Fonseca law firm - Reuters",2016-04-13,"News",0,0,0,0,0,-14
"Papua New Guinea police barricade anti-fraud squad head's office, say reports_2016-04-18_news.txt","Papua New Guinea police barricade anti-fraud squad head's office, say reports_2016-04-18_news.txt",408,964,41,"Papua New Guinea police barricade anti-fraud squad head's office, say reports",2016-04-18,"news",0,0,0,0,0,-39
"Paraguay battles over land rights in the courts and across the airwaves _2016-5-03_News.txt","Paraguay battles over land rights in the courts and across the airwaves _2016-5-03_News.txt",492,954,67,"Paraguay battles over land rights in the courts and across the airwaves ",2016-05-03,"News",0,0,0,0,0,-42
"Paraplegic ex-Olympian 'humiliated' after TSA pat-down _2016-5-03_News.txt","Paraplegic ex-Olympian 'humiliated' after TSA pat-down _2016-5-03_News.txt",147,253,17,"Paraplegic ex-Olympian 'humiliated' after TSA pat-down ",2016-05-03,"News",0,0,0,0,0,-1
"Parents and children take part in boycott of primary school tests _2016-5-03_News.txt","Parents and children take part in boycott of primary school tests _2016-5-03_News.txt",275,505,24,"Parents and children take part in boycott of primary school tests ",2016-05-03,"News",0,0,0,0,0,-2
"Paris attacks  police shoot at suspect during Belgium raid - new video_2016-03-21_News.txt","Paris attacks  police shoot at suspect during Belgium raid - new video_2016-03-21_News.txt",48,58,2,"Paris attacks  police shoot at suspect during Belgium raid - new video",2016-03-21,"News",0,0,0,0,0,-2
"Paris attacks  Suspects accomplice named as Najim Laachraoui - BBC News_2016-03-21_News.txt","Paris attacks  Suspects accomplice named as Najim Laachraoui - BBC News_2016-03-21_News.txt",344,733,46,"Paris attacks  Suspects accomplice named as Najim Laachraoui - BBC News",2016-03-21,"News",0,0,0,0,0,-14
"Paris suspect was ready to restart something_2016-03-20_News.txt","Paris suspect was ready to restart something_2016-03-20_News.txt",518,1481,75,"Paris suspect was ready to restart something",2016-03-20,"News",0,0,0,0,0,-20
"Paris terror investigation  3 people detained in Brussels_2016-04-12_News.txt","Paris terror investigation  3 people detained in Brussels_2016-04-12_News.txt",454,1681,80,"Paris terror investigation  3 people detained in Brussels",2016-04-12,"News",0,0,0,0,0,-44
"Paris terrorists used burner phones not encryption to evade detection_2016-03-21_Tech.txt","Paris terrorists used burner phones not encryption to evade detection_2016-03-21_Tech.txt",331,656,28,"Paris terrorists used burner phones not encryption to evade detection",2016-03-21,"Tech",0,0,0,0,0,-10
"Park Service  Weekend Weather Wont Affect Peak Bloom Date_2016-03-21_News.txt","Park Service  Weekend Weather Wont Affect Peak Bloom Date_2016-03-21_News.txt",16,17,1,"Park Service  Weekend Weather Wont Affect Peak Bloom Date",2016-03-21,"News",0,0,0,0,0,3
"Parties' Presidential Front-Runners Increasingly Unpopular_2016-04-17_Politics.txt","Parties' Presidential Front-Runners Increasingly Unpopular_2016-04-17_Politics.txt",57,73,3,"Parties' Presidential Front-Runners Increasingly Unpopular",2016-04-17,"Politics",0,1,0,0,0,3
"PASSION Ratings Fizzle As Tyler Perry Show Hits Live Musical Low..._2016-03-21_News.txt","PASSION Ratings Fizzle As Tyler Perry Show Hits Live Musical Low..._2016-03-21_News.txt",371,809,35,"PASSION Ratings Fizzle As Tyler Perry Show Hits Live Musical Low...",2016-03-21,"News",0,0,0,0,0,-2
"Past notes  readers share their previous Record Store Day memories_2016-04-16_news.txt","Past notes  readers share their previous Record Store Day memories_2016-04-16_news.txt",16,16,1,"Past notes  readers share their previous Record Store Day memories",2016-04-16,"news",0,0,0,0,0,0
"Patton Oswalt Remembers His Wife, Michelle McNamara  She Steered Her Life With Joyous, Wicked Curiosity _2016-5-03_News.txt","Patton Oswalt Remembers His Wife, Michelle McNamara  She Steered Her Life With Joyous, Wicked Curiosity _2016-5-03_News.txt",296,537,42,"Patton Oswalt Remembers His Wife, Michelle McNamara  She Steered Her Life With Joyous, Wicked Curiosity ",2016-05-03,"News",0,0,0,0,0,25
"Paul Krugman  The GOP needs Trump to evict them from the halls of power and into the political wilderness_2016-03-21_News.txt","Paul Krugman  The GOP needs Trump to evict them from the halls of power and into the political wilderness_2016-03-21_News.txt",121,166,4,"Paul Krugman  The GOP needs Trump to evict them from the halls of power and into the political wilderness",2016-03-21,"News",1,1,0,0,0,9
"Paul Ryan did the right thing  for himself, and his party   Christopher Barron_2016-04-13_News.txt","Paul Ryan did the right thing  for himself, and his party   Christopher Barron_2016-04-13_News.txt",0,0,0,"Paul Ryan did the right thing  for himself, and his party   Christopher Barron",2016-04-13,"News",0,0,0,0,0,0
"Paul Ryan is not running for president   or passing a budget_2016-04-13_News.txt","Paul Ryan is not running for president   or passing a budget_2016-04-13_News.txt",375,716,34,"Paul Ryan is not running for president   or passing a budget",2016-04-13,"News",1,0,1,0,1,-1
"Paul Ryan is not running for president  or passing a budget - Washington Post_2016-04-13_News.txt","Paul Ryan is not running for president  or passing a budget - Washington Post_2016-04-13_News.txt",451,972,48,"Paul Ryan is not running for president  or passing a budget - Washington Post",2016-04-13,"News",1,0,1,0,1,-5
"Paul Ryan just says no, but the media keep looking for a white knight - Fox News_2016-04-13_News.txt","Paul Ryan just says no, but the media keep looking for a white knight - Fox News_2016-04-13_News.txt",447,899,52,"Paul Ryan just says no, but the media keep looking for a white knight - Fox News",2016-04-13,"News",1,1,1,0,1,15
"Paul Ryan to GOP  I Cant Be Your Everything - Daily Beast_2016-04-13_News.txt","Paul Ryan to GOP  I Cant Be Your Everything - Daily Beast_2016-04-13_News.txt",419,966,50,"Paul Ryan to GOP  I Cant Be Your Everything - Daily Beast",2016-04-13,"News",1,0,1,0,0,12
"Paul VIs VJ King Gonzagas Chris Lykes Gwynn Parks Isaiah Miles named Gatorade state players of the year_2016-03-21_News.txt","Paul VIs VJ King Gonzagas Chris Lykes Gwynn Parks Isaiah Miles named Gatorade state players of the year_2016-03-21_News.txt",231,440,39,"Paul VIs VJ King Gonzagas Chris Lykes Gwynn Parks Isaiah Miles named Gatorade state players of the year",2016-03-21,"News",0,0,0,0,0,13
"PAWS Act seeks to help veterans with PTSD get service dogs_2016-03-21_Politics.txt","PAWS Act seeks to help veterans with PTSD get service dogs_2016-03-21_Politics.txt",184,308,15,"PAWS Act seeks to help veterans with PTSD get service dogs",2016-03-21,"Politics",0,0,0,0,0,-6
"Pay Attention To These 7 Movies And TV Shows That Premiered At South By Southwest_2016-03-21_News.txt","Pay Attention To These 7 Movies And TV Shows That Premiered At South By Southwest_2016-03-21_News.txt",457,729,37,"Pay Attention To These 7 Movies And TV Shows That Premiered At South By Southwest",2016-03-21,"News",0,0,0,0,0,27
"Peabody, World's Top Private Coal Miner, Files For Bankruptcy_2016-04-13_News.txt","Peabody, World's Top Private Coal Miner, Files For Bankruptcy_2016-04-13_News.txt",0,0,0,"Peabody, World's Top Private Coal Miner, Files For Bankruptcy",2016-04-13,"News",0,0,0,0,0,0
"Peanut Butter and Jelly Fudge Brownies_2016-02-23_Cooking.txt","Peanut Butter and Jelly Fudge Brownies_2016-02-23_Cooking.txt",270,557,41,"Peanut Butter and Jelly Fudge Brownies",2016-02-23,"Cooking",0,0,0,0,0,23
"Peanut Butter Granola Bars_2016-02-18_Cooking.txt","Peanut Butter Granola Bars_2016-02-18_Cooking.txt",600,1678,117,"Peanut Butter Granola Bars",2016-02-18,"Cooking",0,0,0,0,0,49
"Pederson  Look for great things out of Chase Daniel_2016-03-21_Sports.txt","Pederson  Look for great things out of Chase Daniel_2016-03-21_Sports.txt",191,365,20,"Pederson  Look for great things out of Chase Daniel",2016-03-21,"Sports",0,0,0,0,0,4
"Pedestrian struck and killed by hijacked Metrobus in DC, police say - Washington Post _2016-5-03_News.txt","Pedestrian struck and killed by hijacked Metrobus in DC, police say - Washington Post _2016-5-03_News.txt",207,470,34,"Pedestrian struck and killed by hijacked Metrobus in DC, police say - Washington Post ",2016-05-03,"News",0,0,0,0,0,-22
"Pelicans Davis out for season putting Olympics in doubt_2016-03-20_Sports.txt","Pelicans Davis out for season putting Olympics in doubt_2016-03-20_Sports.txt",333,720,39,"Pelicans Davis out for season putting Olympics in doubt",2016-03-20,"Sports",0,0,0,0,0,3
"Pelicans shut down Anthony Davis for remainder of season_2016-03-20_Sports.txt","Pelicans shut down Anthony Davis for remainder of season_2016-03-20_Sports.txt",73,101,6,"Pelicans shut down Anthony Davis for remainder of season",2016-03-20,"Sports",0,0,0,0,0,4
"Pentagon misled lawmakers on military sexual assault cases_2016-04-18_Politics.txt","Pentagon misled lawmakers on military sexual assault cases_2016-04-18_Politics.txt",255,509,22,"Pentagon misled lawmakers on military sexual assault cases",2016-04-18,"Politics",0,0,0,0,0,1
"People Tell Us Why They're Disappointed in Their Uber Ratings_2016-04-12_News.txt","People Tell Us Why They're Disappointed in Their Uber Ratings_2016-04-12_News.txt",589,1350,72,"People Tell Us Why They're Disappointed in Their Uber Ratings",2016-04-12,"News",0,0,0,0,0,-44
"Personal Finance Daily  How to save $1,000 each month, and what the new FICO score means for you _2016-5-02_News.txt","Personal Finance Daily  How to save $1,000 each month, and what the new FICO score means for you _2016-5-02_News.txt",224,341,30,"Personal Finance Daily  How to save $1,000 each month, and what the new FICO score means for you ",2016-05-02,"News",0,0,0,0,0,8
"Pesto Christmas Tree Pizzas_2015-12-06_Cooking.txt","Pesto Christmas Tree Pizzas_2015-12-06_Cooking.txt",234,436,30,"Pesto Christmas Tree Pizzas",2015-12-06,"Cooking",0,0,0,0,0,40
"Philadelphia man charged in fatal shooting of 4-year-old girl - CBS News_2016-04-18_news.txt","Philadelphia man charged in fatal shooting of 4-year-old girl - CBS News_2016-04-18_news.txt",160,294,17,"Philadelphia man charged in fatal shooting of 4-year-old girl - CBS News",2016-04-18,"news",0,0,0,0,0,-15
"Philadelphia police officer shot and wounded by suspect_2016-04-18_news.txt","Philadelphia police officer shot and wounded by suspect_2016-04-18_news.txt",136,227,19,"Philadelphia police officer shot and wounded by suspect",2016-04-18,"news",0,0,0,0,0,6
"Philippine Presidential Candidate Defends Remarks on Rape  This Is How Men Talk_2016-04-18_news.txt","Philippine Presidential Candidate Defends Remarks on Rape  This Is How Men Talk_2016-04-18_news.txt",334,580,30,"Philippine Presidential Candidate Defends Remarks on Rape  This Is How Men Talk",2016-04-18,"news",1,0,0,0,0,-51
"Photo Friday  Soup-er Bowls_2016-02-05_Cooking.txt","Photo Friday  Soup-er Bowls_2016-02-05_Cooking.txt",22,31,6,"Photo Friday  Soup-er Bowls",2016-02-05,"Cooking",0,0,0,0,0,-1
"Photo highlights of the day  a London hotspot and a reluctant donkey _2016-5-03_News.txt","Photo highlights of the day  a London hotspot and a reluctant donkey _2016-5-03_News.txt",29,32,3,"Photo highlights of the day  a London hotspot and a reluctant donkey ",2016-05-03,"News",0,0,0,0,0,0
"Photo highlights of the day  an orphaned orangutan and racing reindeer_2016-03-21_News.txt","Photo highlights of the day  an orphaned orangutan and racing reindeer_2016-03-21_News.txt",45,51,5,"Photo highlights of the day  an orphaned orangutan and racing reindeer",2016-03-21,"News",0,0,0,0,0,1
"Photos  POLITICO Garden Brunch _2016-05-02_Politics.txt","Photos  POLITICO Garden Brunch _2016-05-02_Politics.txt",38,42,2,"Photos  POLITICO Garden Brunch ",2016-05-02,"Politics",0,0,0,0,0,0
"Picking a GOP running mate is suddenly a..._2016-03-21_Politics.txt","Picking a GOP running mate is suddenly a..._2016-03-21_Politics.txt",287,512,24,"Picking a GOP running mate is suddenly a...",2016-03-21,"Politics",1,0,1,0,1,-3
"Pie-Eyed_2016-03-14_Cooking.txt","Pie-Eyed_2016-03-14_Cooking.txt",448,822,67,"Pie-Eyed",2016-03-14,"Cooking",0,0,0,0,0,31
"Pietrangelo logs heavy ice time in Blues' playoff run _2016-5-02_News.txt","Pietrangelo logs heavy ice time in Blues' playoff run _2016-5-02_News.txt",392,792,51,"Pietrangelo logs heavy ice time in Blues' playoff run ",2016-05-02,"News",0,0,0,0,0,36
"Pinball Is A Game Of Skill Not Chance_2016-03-16_Sports.txt","Pinball Is A Game Of Skill Not Chance_2016-03-16_Sports.txt",108,168,10,"Pinball Is A Game Of Skill Not Chance",2016-03-16,"Sports",0,0,0,0,0,-5
"Pinocchios Got a Gun_2016-04-12_News.txt","Pinocchios Got a Gun_2016-04-12_News.txt",103,139,15,"Pinocchios Got a Gun",2016-04-12,"News",0,0,0,0,0,6
"Pirate Bay founder and Adblock maker offer web users a way to pay publishers _2016-5-03_News.txt","Pirate Bay founder and Adblock maker offer web users a way to pay publishers _2016-5-03_News.txt",289,514,23,"Pirate Bay founder and Adblock maker offer web users a way to pay publishers ",2016-05-03,"News",0,0,0,0,0,15
"Pistachio Ice Cream with Nutella Fudge Swirls._2016-03-11_Cooking.txt","Pistachio Ice Cream with Nutella Fudge Swirls._2016-03-11_Cooking.txt",308,725,66,"Pistachio Ice Cream with Nutella Fudge Swirls.",2016-03-11,"Cooking",0,0,0,0,0,6
"PISTACHIO PAVLOVA WITH STRAWBERRY + RHUBARB CREAM_2015-05-20_Cooking.txt","PISTACHIO PAVLOVA WITH STRAWBERRY + RHUBARB CREAM_2015-05-20_Cooking.txt",290,540,22,"PISTACHIO PAVLOVA WITH STRAWBERRY + RHUBARB CREAM",2015-05-20,"Cooking",0,0,0,0,0,39
"Pizza the action  police posing as delivery boys arrest mafia boss in Italy_2016-04-18_news.txt","Pizza the action  police posing as delivery boys arrest mafia boss in Italy_2016-04-18_news.txt",118,161,8,"Pizza the action  police posing as delivery boys arrest mafia boss in Italy",2016-04-18,"news",0,0,0,0,0,-12
"Plagued by nuisance calls  Its time to ring some strategic changes_2016-04-18_news.txt","Plagued by nuisance calls  Its time to ring some strategic changes_2016-04-18_news.txt",591,1559,77,"Plagued by nuisance calls  Its time to ring some strategic changes",2016-04-18,"news",0,0,0,0,0,-16
"Platypus Twins_2016-03-21_News.txt","Platypus Twins_2016-03-21_News.txt",137,203,13,"Platypus Twins",2016-03-21,"News",0,0,0,0,0,0
"Play this game and win a job!_2016-04-13_News.txt","Play this game and win a job!_2016-04-13_News.txt",470,962,48,"Play this game and win a job!",2016-04-13,"News",0,0,0,0,0,18
"Plea deal in works for Ohio student arrested at Trump rally_2016-04-18_news.txt","Plea deal in works for Ohio student arrested at Trump rally_2016-04-18_news.txt",91,132,8,"Plea deal in works for Ohio student arrested at Trump rally",2016-04-18,"news",1,0,0,0,0,-10
"Plutos unprecedented ice provinces and other surprises from NASAs New Horizons_2016-03-18_News.txt","Plutos unprecedented ice provinces and other surprises from NASAs New Horizons_2016-03-18_News.txt",502,1011,52,"Plutos unprecedented ice provinces and other surprises from NASAs New Horizons",2016-03-18,"News",0,0,0,0,0,23
"Poisonous lands  Pennsylvania prison built next to toxic dump _2016-2-25_News.txt","Poisonous lands  Pennsylvania prison built next to toxic dump _2016-2-25_News.txt",467,1051,58,"Poisonous lands  Pennsylvania prison built next to toxic dump ",2016-02-25,"News",0,0,0,0,0,-29
"Poisonous lands  Pennsylvania prison built next to toxic dump_2016-02-25_news.txt","Poisonous lands  Pennsylvania prison built next to toxic dump_2016-02-25_news.txt",467,1051,58,"Poisonous lands  Pennsylvania prison built next to toxic dump",2016-02-25,"news",0,0,0,0,0,-29
"Police  Gun found in Will Smith's car, but no evidence it was fired - ESPN_2016-04-12_News.txt","Police  Gun found in Will Smith's car, but no evidence it was fired - ESPN_2016-04-12_News.txt",296,654,29,"Police  Gun found in Will Smith's car, but no evidence it was fired - ESPN",2016-04-12,"News",0,0,0,0,0,-23
"Police  Mall Easter bunny father scuffle after child slips - Hickory Daily Record_2016-03-21_News.txt","Police  Mall Easter bunny father scuffle after child slips - Hickory Daily Record_2016-03-21_News.txt",56,80,8,"Police  Mall Easter bunny father scuffle after child slips - Hickory Daily Record",2016-03-21,"News",0,0,0,0,0,8
"Police  Man says he, not boy, shot 4-year-old accidentally - Porterville Recorder_2016-04-17_news.txt","Police  Man says he, not boy, shot 4-year-old accidentally - Porterville Recorder_2016-04-17_news.txt",80,130,12,"Police  Man says he, not boy, shot 4-year-old accidentally - Porterville Recorder",2016-04-17,"news",0,0,0,0,0,8
"Police are solving a lot fewer murder cases than they used to _2016-5-03_News.txt","Police are solving a lot fewer murder cases than they used to _2016-5-03_News.txt",442,1146,51,"Police are solving a lot fewer murder cases than they used to ",2016-05-03,"News",0,0,0,0,0,-37
"Police Investigate Barricade At Glen Arm Armory - WBAL Radio _2016-5-02_News.txt","Police Investigate Barricade At Glen Arm Armory - WBAL Radio _2016-5-02_News.txt",116,160,15,"Police Investigate Barricade At Glen Arm Armory - WBAL Radio ",2016-05-02,"News",0,0,0,0,0,-3
"Police investigate sexual assault allegation against Ukip MEP _2016-5-03_News.txt","Police investigate sexual assault allegation against Ukip MEP _2016-5-03_News.txt",142,300,15,"Police investigate sexual assault allegation against Ukip MEP ",2016-05-03,"News",0,0,0,0,0,0
"Police officer  Trump protesters were the most hateful evil people Ive ever seen_2016-03-21_News.txt","Police officer  Trump protesters were the most hateful evil people Ive ever seen_2016-03-21_News.txt",487,1166,66,"Police officer  Trump protesters were the most hateful evil people Ive ever seen",2016-03-21,"News",1,0,0,0,0,-46
"Police officer shot and killed in NJ - FOX 10 News Phoenix_2016-03-21_News.txt","Police officer shot and killed in NJ - FOX 10 News Phoenix_2016-03-21_News.txt",126,188,10,"Police officer shot and killed in NJ - FOX 10 News Phoenix",2016-03-21,"News",0,0,0,0,0,-12
"Police officers sacked over Bijan Ebrahimi murder case _2016-5-03_News.txt","Police officers sacked over Bijan Ebrahimi murder case _2016-5-03_News.txt",252,477,20,"Police officers sacked over Bijan Ebrahimi murder case ",2016-05-03,"News",0,0,0,0,0,-40
"Polio Could Be Eradicated Globally By End Of Decade  Experts _2016-4-15_News.txt","Polio Could Be Eradicated Globally By End Of Decade  Experts _2016-4-15_News.txt",0,0,0,"Polio Could Be Eradicated Globally By End Of Decade  Experts ",2016-04-15,"News",0,0,0,0,0,0
"Political Hard Ball Finds a Home in Business _2016-05-01_Politics.txt","Political Hard Ball Finds a Home in Business _2016-05-01_Politics.txt",50,63,2,"Political Hard Ball Finds a Home in Business ",2016-05-01,"Politics",0,0,0,0,0,7
"Politics Donald Trump Assails 'Rigged' Delegate System, Saying He Chooses Not to Exploit It - New York Times_2016-04-18_news.txt","Politics Donald Trump Assails 'Rigged' Delegate System, Saying He Chooses Not to Exploit It - New York Times_2016-04-18_news.txt",426,906,53,"Politics Donald Trump Assails 'Rigged' Delegate System, Saying He Chooses Not to Exploit It - New York Times",2016-04-18,"news",1,1,0,1,0,19
"Poll  Americans angry with federal government, happy at home_2016-04-18_news.txt","Poll  Americans angry with federal government, happy at home_2016-04-18_news.txt",335,691,35,"Poll  Americans angry with federal government, happy at home",2016-04-18,"news",1,1,1,1,0,4
"Poll  Just 6 percent of people say they trust the media_2016-04-18_news.txt","Poll  Just 6 percent of people say they trust the media_2016-04-18_news.txt",352,803,34,"Poll  Just 6 percent of people say they trust the media",2016-04-18,"news",0,0,0,0,0,11
"Poll shows UK business confidence at four-year low _2016-5-02_News.txt","Poll shows UK business confidence at four-year low _2016-5-02_News.txt",294,554,27,"Poll shows UK business confidence at four-year low ",2016-05-02,"News",0,0,0,0,0,-5
"Postscript  Daniel Berrigan, 1921-2016 _2016-5-02_News.txt","Postscript  Daniel Berrigan, 1921-2016 _2016-5-02_News.txt",618,1359,51,"Postscript  Daniel Berrigan, 1921-2016 ",2016-05-02,"News",0,0,0,0,0,-15
"Prep football player charged with felony for exposing himself in team photo - USA TODAY High School Sports _2016-5-03_News.txt","Prep football player charged with felony for exposing himself in team photo - USA TODAY High School Sports _2016-5-03_News.txt",278,500,21,"Prep football player charged with felony for exposing himself in team photo - USA TODAY High School Sports ",2016-05-03,"News",0,0,0,0,0,-25
"Pres. Obama lays wreath at Cuban memorial_2016-03-21_Politics.txt","Pres. Obama lays wreath at Cuban memorial_2016-03-21_Politics.txt",38,43,4,"Pres. Obama lays wreath at Cuban memorial",2016-03-21,"Politics",0,0,0,0,0,1
"Preserving community character is impossible _2016-5-03_News.txt","Preserving community character is impossible _2016-5-03_News.txt",374,702,34,"Preserving community character is impossible ",2016-05-03,"News",0,0,0,0,0,6
"President Brings GOOGLE Gifts to Havana..._2016-03-21_News.txt","President Brings GOOGLE Gifts to Havana..._2016-03-21_News.txt",65,87,5,"President Brings GOOGLE Gifts to Havana...",2016-03-21,"News",0,0,0,0,0,-1
"President Obama and Raul Castro make history_2016-03-21_Politics.txt","President Obama and Raul Castro make history_2016-03-21_Politics.txt",23,25,3,"President Obama and Raul Castro make history",2016-03-21,"Politics",0,0,0,0,0,0
